time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1777561207332000000,2.006,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561209333000000,4.007,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561211333000000,6.007,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561213336000000,8.01,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561215337000000,10.011,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561217338000000,12.011999755859375,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561219338000000,14.011999755859375,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561221338000000,16.011999755859375,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561223339000000,18.013,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561225339000000,20.013,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561227344000000,22.018,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561229342000000,24.016000244140624,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561231342000000,26.016000244140624,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561233345000000,28.019,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561235344000000,30.018,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561237345000000,32.019,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561239355000000,34.029,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561241349000000,36.023,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561243350000000,38.02400024414062,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561245352000000,40.026,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561247353000000,42.027,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561249354000000,44.027999755859376,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561251354000000,46.027999755859376,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561253355000000,48.029,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561255356000000,50.03,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561257363000000,52.037,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561259363000000,54.037,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561261364000000,56.038,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561263365000000,58.039,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
1777561265364000000,60.038,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5e:3f:2d,94,130.37.159.119,5560,,
