time,seconds_elapsed,steps
1777561202150685400,-3.175314453125,0
1777561208747338500,3.42133837890625,6
1777561209219646700,3.893646728515625,7
1777561209766556000,4.440555908203125,8
1777561210239545600,4.913545654296875,9
1777561210794618600,5.46861865234375,10
1777561211230444500,5.904444580078125,11
1777561211795238400,6.46923828125,12
1777561212259275500,6.933275634765625,13
1777561212795647700,7.469647705078125,14
1777561213342632400,8.016632568359375,15
1777561213954218000,8.628218017578124,16
1777561214538706000,9.212705810546876,17
1777561214936159500,9.610159423828126,18
1777561215213874700,9.887874755859375,19
1777561215649656000,10.323656005859375,20
1777561216103541500,10.77754150390625,21
1777561216539596800,11.2135966796875,22
1777561217067080200,11.741080078125,23
1777561217511791400,12.185791259765624,24
1777561218059357700,12.733357666015625,25
1777561218475536600,13.14953662109375,26
1777561218957104000,13.631104248046874,27
1777561219383321000,14.057321044921874,28
1777561219911073800,14.58507373046875,29
1777561220449691100,15.123691162109376,30
1777561220791583200,15.465583251953126,31
1777561221089295400,15.76329541015625,32
1777561221644092400,16.318092529296877,33
1777561222311018200,16.985018310546874,34
1777561223024050400,17.698050537109374,35
1777561223529535500,18.203535400390624,36
1777561223844025600,18.518025634765625,37
1777561224325606400,18.9996064453125,38
1777561224751967700,19.4259677734375,39
1777561225270684400,19.944684326171874,40
1777561225734034400,20.408034423828123,41
1777561226345419300,21.019419189453124,42
1777561226919954700,21.59395458984375,43
1777561227272017200,21.94601708984375,44
1777561227569625000,22.243625,45
1777561228142756000,22.816756103515626,46
1777561228513503500,23.18750341796875,47
1777561228829452000,23.5034521484375,48
1777561229291783400,23.965783447265625,49
1777561229792070700,24.466070556640624,50
1777561230219374000,24.8933740234375,51
1777561230719554300,25.39355419921875,52
1777561231126047000,25.800046875,53
1777561231644896300,26.318896240234373,54
1777561232071092700,26.7450927734375,55
1777561232553003500,27.22700341796875,56
1777561232998821000,27.672821044921875,57
1777561233535083500,28.20908349609375,58
1777561233979895600,28.6538955078125,59
1777561234591125500,29.26512548828125,60
1777561235147139000,29.82113916015625,61
1777561235499473700,30.1734736328125,62
1777561235777015300,30.451015380859374,63
1777561236296006700,30.970006591796874,64
1777561236963024600,31.637024658203124,65
1777561237426166000,32.100166015625,66
1777561237982075400,32.656075439453126,67
1777561238426740700,33.10074072265625,68
1777561238945594400,33.619594482421874,69
1777561239409503700,34.08350366210937,70
1777561239946205000,34.620204833984374,71
1777561240409613000,35.08361303710937,72
1777561240946777600,35.62077758789062,73
1777561241373138400,36.047138427734374,74
1777561241891966200,36.56596630859375,75
1777561242448978400,37.122978515625,76
1777561243078984700,37.752984619140626,77
1777561243652295000,38.326294921875,78
1777561244041515300,38.71551538085937,79
1777561244339055400,39.013055419921876,80
1777561244800945700,39.47494555664063,81
1777561245356825300,40.030825439453125,82
1777561245839534600,40.51353466796875,83
1777561246413223700,41.0872236328125,84
1777561246876424200,41.55042407226563,85
1777561247450752000,42.124751953125,86
1777561247914113000,42.58811303710937,87
1777561248489462500,43.163462646484376,88
1777561248951796500,43.62579638671875,89
1777561249581632500,44.255632568359374,90
1777561250063423700,44.737423828125,91
1777561250415624200,45.089624267578124,92
1777561250693567200,45.36756713867187,93
1777561251249529900,45.92352978515625,94
1777561251860803800,46.534803955078125,95
1777561252361102600,47.0351025390625,96
1777561253102298600,47.77629858398438,97
1777561253583983900,48.25798388671875,98
1777561254159576300,48.833576416015624,99
1777561254603392300,49.27739233398437,100
1777561255178967300,49.85296728515625,101
1777561255641069800,50.31506982421875,102
1777561256141176800,50.8151767578125,103
1777561256585867500,51.25986743164062,104
1777561257086307800,51.76030786132812,105
1777561257512525800,52.18652587890625,106
1777561258069536800,52.743536865234375,107
1777561258587053800,53.2610537109375,108
1777561258958978800,53.63297875976563,109
1777561259235796000,53.9097958984375,110
1777561259773152000,54.447152099609376,111
1777561260403165400,55.07716552734375,112
1777561260884927000,55.55892700195312,113
1777561261403762000,56.07776196289063,114
1777561261849791000,56.523791015625,115
1777561262385645600,57.0596455078125,116
1777561262849519000,57.52351904296875,117
1777561263442030600,58.116030517578125,118
1777561263905304000,58.579303955078124,119
1777561264461001000,59.1350009765625,120
1777561264942786300,59.61678637695312,121
1777561265535851800,60.20985180664063,122
1777561265999590100,60.673590087890624,123
1777561266555031800,61.22903173828125,124
1777561267110769200,61.78476904296875,125
