time,seconds_elapsed,level,frequency,capabilities,BSSID,SSID
1777561205326000000,2.44140625e-7,-77,2412,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5e:25:e2,VU-Campusnet
1777561205326000000,2.44140625e-7,-76,2412,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5e:25:e1,eduroam
1777561205326000000,2.44140625e-7,-76,2412,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],48:00:b3:5e:25:e0,iotroam
1777561205326000000,2.44140625e-7,-65,5560,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],48:00:b3:5e:3f:2f,iotroam
1777561205326000000,2.44140625e-7,-65,5560,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5e:3f:2e,eduroam
1777561205326000000,2.44140625e-7,-64,5560,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5e:3f:2d,VU-Campusnet
1777561205326000000,2.44140625e-7,-72,2412,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:57:c2,VU-Campusnet
1777561205326000000,2.44140625e-7,-82,5700,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],10:e3:76:47:55:cf,iotroam
1777561205326000000,2.44140625e-7,-72,2412,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:57:c1,eduroam
1777561205326000000,2.44140625e-7,-64,2412,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],48:00:b3:5e:3f:20,iotroam
1777561245340000000,40.014,-76,5500,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:66:0d,VU-Campusnet
1777561245340000000,40.014,-70,2412,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:51:22,VU-Campusnet
1777561245340000000,40.014,-71,2412,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],48:00:b3:5f:51:20,iotroam
1777561245340000000,40.014,-70,2412,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:51:21,eduroam
1777561245340000000,40.014,-73,5660,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],48:00:b3:5f:51:2f,iotroam
1777561245340000000,40.014,-73,5660,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:51:2d,VU-Campusnet
1777561245340000000,40.014,-73,5660,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:51:2e,eduroam
1777561245340000000,40.014,-81,2462,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],48:00:b3:5f:66:00,iotroam
