time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1777561096304000000,2.014,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:51:2d,81,130.37.159.119,5660,,
1777561098304000000,4.014,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:51:2d,81,130.37.159.119,5660,,
1777561100304000000,6.014,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:51:2d,81,130.37.159.119,5660,,
1777561102304000000,8.014,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:51:2d,81,130.37.159.119,5660,,
1777561104304000000,10.014,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:51:2d,81,130.37.159.119,5660,,
1777561106305000000,12.015,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:51:2d,81,130.37.159.119,5660,,
1777561108305000000,14.015,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:51:2d,81,130.37.159.119,5660,,
1777561110307000000,16.017,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:51:2d,81,130.37.159.119,5660,,
1777561112308000000,18.018,cellular,true,true,true,true,,,,,,4g,simyo
1777561114311000000,20.021,cellular,true,true,true,true,,,,,,4g,simyo
1777561116311000000,22.021,cellular,true,true,true,true,,,,,,4g,simyo
1777561118311000000,24.021,cellular,true,true,true,true,,,,,,4g,simyo
1777561120312000000,26.022,cellular,true,true,true,true,,,,,,4g,simyo
1777561122312000000,28.022,cellular,true,true,true,true,,,,,,4g,simyo
1777561124315000000,30.025,cellular,true,true,true,true,,,,,,4g,simyo
1777561126316000000,32.026,cellular,true,true,true,true,,,,,,4g,simyo
1777561128319000000,34.029,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:66:0d,79,130.37.159.119,5500,,
1777561130317000000,36.027,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:66:0d,79,130.37.159.119,5500,,
1777561132319000000,38.029,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:66:0d,79,130.37.159.119,5500,,
1777561134319000000,40.029,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:66:0d,79,130.37.159.119,5500,,
1777561136320000000,42.03,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:66:0d,79,130.37.159.119,5500,,
1777561138322000000,44.031999755859374,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:66:0d,79,130.37.159.119,5500,,
1777561140322000000,46.031999755859374,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:66:0d,79,130.37.159.119,5500,,
1777561142323000000,48.033,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:66:0d,79,130.37.159.119,5500,,
1777561144324000000,50.034,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:66:0d,79,130.37.159.119,5500,,
1777561146325000000,52.035,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:66:0d,79,130.37.159.119,5500,,
1777561148325000000,54.035,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:66:0d,79,130.37.159.119,5500,,
1777561150325000000,56.035,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:66:0d,79,130.37.159.119,5500,,
1777561152326000000,58.036000244140624,wifi,true,true,true,false,VU-Campusnet,48:00:b3:5f:66:0d,79,130.37.159.119,5500,,
