time,seconds_elapsed,level,frequency,capabilities,BSSID,SSID
1777561094290000000,-2.44140625e-7,-64,2412,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],48:00:b3:5f:51:20,iotroam
1777561094290000000,-2.44140625e-7,-55,5660,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],48:00:b3:5f:51:2f,iotroam
1777561094290000000,-2.44140625e-7,-79,2437,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],50:5c:88:f1:27:e2,VU-Campusnet
1777561094290000000,-2.44140625e-7,-64,5660,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:51:2d,VU-Campusnet
1777561094290000000,-2.44140625e-7,-56,5660,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:51:2e,eduroam
1777561094290000000,-2.44140625e-7,-79,2437,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],50:5c:88:f1:27:e1,eduroam
1777561094290000000,-2.44140625e-7,-84,5220,[WPA2-PSK-CCMP-128][RSN-PSK+SAE-CCMP-128][ESS][MFPC],a2:b0:15:92:d2:8c,iPhone van Moos
1777561134310000000,40.020000244140626,-54,5500,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:66:0d,VU-Campusnet
1777561134310000000,40.020000244140626,-53,5500,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:66:0e,eduroam
1777561134310000000,40.020000244140626,-52,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],48:00:b3:5f:66:0f,iotroam
1777561134310000000,40.020000244140626,-60,2462,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],48:00:b3:5f:66:00,iotroam
1777561134310000000,40.020000244140626,-72,2412,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5e:3f:22,VU-Campusnet
1777561134310000000,40.020000244140626,-72,2412,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5e:3f:21,eduroam
1777561134310000000,40.020000244140626,-73,2412,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],48:00:b3:5e:3f:20,iotroam
