time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1777560075830000000,2.004000244140625,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560077830000000,4.004000244140625,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560079830000000,6.004000244140625,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560081831000000,8.005,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560083832000000,10.006,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560085833000000,12.007,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560087835000000,14.009,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560089835000000,16.009,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560091836000000,18.01,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560093836000000,20.01,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560095837000000,22.011,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560097838000000,24.012000244140626,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560099838000000,26.012000244140626,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560101838000000,28.012000244140626,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560103839000000,30.013,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560105840000000,32.014,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560107840000000,34.014,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560109841000000,36.015,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560111840000000,38.014,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560113841000000,40.015,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560115842000000,42.015999755859376,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560117843000000,44.017,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560119844000000,46.018,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560121846000000,48.020000244140626,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560123846000000,50.020000244140626,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560125846000000,52.020000244140626,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560127847000000,54.021,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560129849000000,56.023,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560131860000000,58.034,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560133852000000,60.026,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560135853000000,62.027,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560137857000000,64.031,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
1777560139859000000,66.033,wifi,true,true,true,false,VU-Campusnet,10:e3:76:47:55:cd,74,130.37.159.119,5700,,
