time,seconds_elapsed,level,frequency,capabilities,BSSID,SSID
1777560073819000000,-0.007,-71,5300,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],48:00:b3:5f:58:0f,iotroam
1777560073819000000,-0.007,-71,5300,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:58:0e,eduroam
1777560073819000000,-0.007,-81,5320,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],10:e3:76:47:4c:cf,iotroam
1777560073819000000,-0.007,-71,5300,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:58:0d,VU-Campusnet
1777560073819000000,-0.007,-85,5320,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],48:00:b3:5a:90:8f,iotroam
1777560073819000000,-0.007,-77,5180,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],c0:c1:c0:95:2a:e4,My Little Pony (5G)
1777560073819000000,-0.007,-70,5700,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],10:e3:76:47:55:cf,iotroam
1777560073819000000,-0.007,-70,5700,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],10:e3:76:47:55:ce,eduroam
1777560073819000000,-0.007,-71,5700,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],10:e3:76:47:55:cd,VU-Campusnet
1777560073819000000,-0.007,-75,5580,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:45:0e,eduroam
1777560073819000000,-0.007,-78,5660,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5a:b1:6e,eduroam
1777560073819000000,-0.007,-75,5580,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],48:00:b3:5f:45:0f,iotroam
1777560073819000000,-0.007,-77,5660,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5a:b1:6d,VU-Campusnet
1777560073819000000,-0.007,-74,5580,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:45:0d,VU-Campusnet
1777560073819000000,-0.007,-81,5180,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],84:d8:1b:9e:21:3e,TP-Link_2140
1777560073819000000,-0.007,-74,5580,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],50:5c:88:f1:25:ae,eduroam
1777560073819000000,-0.007,-75,5580,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],50:5c:88:f1:25:ad,VU-Campusnet
1777560073819000000,-0.007,-74,5580,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],50:5c:88:f1:25:af,iotroam
1777560073819000000,-0.007,-74,5260,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],48:00:b3:5f:53:4f,iotroam
1777560073819000000,-0.007,-74,5260,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:53:4e,eduroam
1777560073819000000,-0.007,-74,5260,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:53:4d,VU-Campusnet
1777560073819000000,-0.007,-75,5580,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],48:00:b3:5f:7f:af,iotroam
1777560073819000000,-0.007,-75,5580,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:7f:ad,VU-Campusnet
1777560073819000000,-0.007,-76,5580,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],48:00:b3:5f:7f:ae,eduroam
1777560073819000000,-0.007,-74,5580,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],48:00:b3:5a:80:2f,iotroam
