time,seconds_elapsed,level,frequency,capabilities,BSSID,SSID
1775728160626000000,-0.001000244140625,-83,5200,[WPA2-PSK-CCMP-128+TKIP][RSN-PSK-CCMP-128+TKIP][WPA-PSK-CCMP-128+TKIP][ESS][WPS],70:4f:57:8a:b8:87,Philly's Wifi 2.0
1775728160626000000,-0.001000244140625,-84,5180,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],5c:62:8b:cb:8a:5e,TP-Link_8A60
1775728160626000000,-0.001000244140625,-84,5200,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],ca:42:a1:8f:b7:a6,(hidden SSID)
1775728160626000000,-0.001000244140625,-65,2442,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],b0:19:21:aa:09:3c,Anaklysmos
1775728160626000000,-0.001000244140625,-88,5180,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],ee:07:1d:df:4d:bf,(hidden SSID)
1775728160626000000,-0.001000244140625,-69,5240,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],b0:19:21:aa:09:3b,Anaklysmos
1775728160626000000,-0.001000244140625,-78,2452,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],a8:42:a1:8f:b7:a7,Hollando internet
1775728160626000000,-0.001000244140625,-80,2417,[WPA2-PSK-CCMP-128+TKIP][RSN-PSK-CCMP-128+TKIP][WPA-PSK-CCMP-128+TKIP][ESS][WPS],cc:32:e5:7c:29:53,DoloDenBoSanka
1775728160626000000,-0.001000244140625,-66,2462,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],a8:42:a1:fc:86:99,POTUS
1775728160626000000,-0.001000244140625,-65,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],cc:32:e5:8a:08:bc,Julia's huisje_EXT
1775728160626000000,-0.001000244140625,-73,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],60:cf:84:ee:f8:9c,Julia's huisje
1775728160626000000,-0.001000244140625,-78,2447,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],60:e3:27:39:55:5b,TP-LINK_555B
1775728160626000000,-0.001000244140625,-70,2422,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],3c:6a:d2:8b:25:5a,TP-Link_255A
1775728160626000000,-0.001000244140625,-84,5200,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],a8:42:a1:8f:b7:a6,Hollando internet
1775728160626000000,-0.001000244140625,-69,2457,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],9c:53:22:1a:47:1b,Olivier443
1775728160626000000,-0.001000244140625,-71,5220,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],9c:53:22:1a:47:1a,TP-Link_471B_5G
1775728160626000000,-0.001000244140625,-48,2462,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],cc:32:e5:d1:d0:00,TP-Link_D000
1775728160626000000,-0.001000244140625,-79,2437,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],64:d1:a3:26:e5:cf,SitecomX5 
1775728160626000000,-0.001000244140625,-82,2442,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],ac:22:0b:31:34:58,ASUS-NEMO Juul :)
1775728160626000000,-0.001000244140625,-66,5180,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],9c:a2:f4:3e:98:b9,=[451]=
1775728160626000000,-0.001000244140625,-65,5180,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],cc:32:e5:d1:cf:ff,TP-Link_D000_5G
1775728160626000000,-0.001000244140625,-69,2412,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],d8:47:32:c7:ec:8e,MEA
