time,seconds_elapsed,level,frequency,capabilities,BSSID,SSID
1775728221021000000,-0.001,-75,2457,[WPA-PSK-CCMP-128][WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],30:16:9d:84:a9:a0,MERCUSYS_A9A0
1775728221021000000,-0.001,-82,2412,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],c4:41:1e:49:32:e7,WokaWi433
1775728221021000000,-0.001,-84,5200,[WPA2-PSK-CCMP-128+TKIP][RSN-PSK-CCMP-128+TKIP][WPA-PSK-CCMP-128+TKIP][ESS][WPS],70:4f:57:8a:b8:87,Philly's Wifi 2.0
1775728221021000000,-0.001,-72,2417,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],30:de:4b:12:bc:84,TP-Link_BC84
1775728221021000000,-0.001,-64,2442,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],b0:19:21:aa:09:3c,Anaklysmos
1775728221021000000,-0.001,-82,5180,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],ee:07:1d:df:4d:bf,(hidden SSID)
1775728221021000000,-0.001,-70,5240,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],b0:19:21:aa:09:3b,Anaklysmos
1775728221021000000,-0.001,-76,2452,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],a8:42:a1:8f:b7:a7,Hollando internet
1775728221021000000,-0.001,-72,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],cc:32:e5:8a:08:bc,Julia's huisje_EXT
1775728221021000000,-0.001,-83,2427,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],74:da:88:27:a2:e6,TP-Link_A2E6
1775728221021000000,-0.001,-81,5180,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],a8:42:a1:fc:86:98,mrs goldwyn
1775728221021000000,-0.001,-70,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],60:cf:84:ee:f8:9c,Julia's huisje
1775728221021000000,-0.001,-73,2422,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],3c:6a:d2:8b:25:5a,TP-Link_255A
1775728221021000000,-0.001,-88,5200,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],a8:42:a1:8f:b7:a6,Hollando internet
1775728221021000000,-0.001,-62,2457,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],9c:53:22:1a:47:1b,Olivier443
1775728221021000000,-0.001,-78,2432,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],8c:86:dd:fa:50:8b,TP-Link_508C_5G
1775728221021000000,-0.001,-76,5220,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],9c:53:22:1a:47:1a,TP-Link_471B_5G
1775728221021000000,-0.001,-61,2462,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],cc:32:e5:d1:d0:00,TP-Link_D000
1775728221021000000,-0.001,-67,2472,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],cc:32:e5:8a:08:bd,Julia's huisje_EXT
1775728221021000000,-0.001,-71,5180,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],9c:a2:f4:3e:98:b9,=[451]=
1775728221021000000,-0.001,-60,5180,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],cc:32:e5:d1:cf:ff,TP-Link_D000_5G
1775728221021000000,-0.001,-73,2412,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],d8:47:32:c7:ec:8e,MEA
