time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1774789950547000000,2.011,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789952547000000,4.011,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789954547000000,6.011,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789956546000000,8.009999755859376,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789958547000000,10.011,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789960547000000,12.011,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789962548000000,14.012,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789964548000000,16.012,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789966548000000,18.012,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789968549000000,20.013,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789970550000000,22.014000244140625,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789972551000000,24.015,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789974555000000,26.019,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789976586000000,28.049999755859375,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789978554000000,30.017999755859375,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789980555000000,32.019,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789982556000000,34.02,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789984556000000,36.02,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789986558000000,38.02200024414063,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
1774789988558000000,40.02200024414063,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,37,192.168.0.110,2412,,
