time,seconds_elapsed,level,frequency,capabilities,BSSID,SSID
1774789948535000000,-0.001,-85,5745,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],e8:de:27:b1:bf:6a,TP-LINK_BF6B_5G
1774789948535000000,-0.001,-63,2447,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],5c:e9:31:ac:2d:8e,TP-Link_2D8E
1774789948535000000,-0.001,-85,5180,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],50:91:e3:f9:41:a4,boordeel #2 (snel)
1774789948535000000,-0.001,-89,5240,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],30:de:4b:07:15:c9,VUsec
1774789948535000000,-0.001,-64,5180,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],a8:42:a1:4e:a1:29,TP-Link_A12A_5G
1774789948535000000,-0.001,-84,2457,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],30:b5:c2:67:21:d5,TP-LINK_21D5
1774789948535000000,-0.001,-55,2462,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],44:4e:6d:dd:e6:50,FRITZ!Box 7590 UQ
1774789948535000000,-0.001,-78,2472,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],30:5a:3a:a4:cf:b8,Jut&Julia
1774789948535000000,-0.001,-85,2462,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],98:da:c4:20:06:44,TP-Link_0644
1774789948535000000,-0.001,-86,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],cc:32:e5:8a:08:bc,Julia's huisje_EXT
1774789948535000000,-0.001,-44,5200,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],cc:ba:bd:58:9e:23,Jodelawifi
1774789948535000000,-0.001,-67,5220,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],5c:e9:31:ac:2d:90,TP-Link_2D8E_5G
1774789948535000000,-0.001,-48,2427,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],cc:ba:bd:58:9e:22,Jodelawifi
1774789948535000000,-0.001,-77,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],60:cf:84:ee:f8:9c,Julia's huisje
1774789948535000000,-0.001,-82,2447,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],ac:15:a2:2c:67:1b,TP-Link_671C
1774789948535000000,-0.001,-84,5260,[WPA2-PSK-CCMP-128][RSN-PSK+SAE-CCMP-128][ESS][WPS][MFPC],84:1e:a3:ba:1e:aa,KPNBA1EA6
1774789948535000000,-0.001,-67,5220,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],9c:53:22:1a:47:1a,TP-Link_471B_5G
1774789948535000000,-0.001,-68,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],44:4e:6d:dd:e6:4f,FRITZ!Box 7590 UQ
1774789948535000000,-0.001,-82,2472,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],cc:32:e5:8a:08:bd,Julia's huisje_EXT
1774789948535000000,-0.001,-66,2437,[WPA2-PSK-CCMP-128][RSN-PSK+SAE-CCMP-128][ESS][WPS][MFPC],84:1e:a3:ba:1e:a6,KPNBA1EA6
1774789948535000000,-0.001,-74,5200,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],a8:42:a1:83:94:aa,TP-Link_94AC
1774789948535000000,-0.001,-43,5200,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],d2:ba:bd:58:9e:23,(hidden SSID)
1774789948535000000,-0.001,-67,5240,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],70:4f:57:76:6d:72,TP-Link_6D74_5G
1774789988555000000,40.019,-78,5220,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],ae:86:dd:fa:50:8a,(hidden SSID)
1774789988555000000,40.019,-80,5220,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],5c:e9:31:ec:5a:e2,Oui  fee! 
1774789988555000000,40.019,-80,2462,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],f0:2f:74:7d:5a:f8,ASUS_F8
1774789988555000000,40.019,-80,5220,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],6a:e9:31:ec:5a:e4,(hidden SSID)
1774789988555000000,40.019,-61,2442,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],b0:19:21:aa:09:3c,Anaklysmos
