time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1774790032132000000,2.013,cellular,true,true,true,true,,,,,,4g,simyo
1774790034132000000,4.013,cellular,true,true,true,true,,,,,,4g,simyo
1774790036132000000,6.013,cellular,true,true,true,true,,,,,,4g,simyo
1774790038132000000,8.013,cellular,true,true,true,true,,,,,,4g,simyo
1774790040133000000,10.014,cellular,true,true,true,true,,,,,,4g,simyo
1774790042133000000,12.014,cellular,true,true,true,true,,,,,,4g,simyo
1774790044133000000,14.014,cellular,true,true,true,true,,,,,,4g,simyo
1774790046133000000,16.014,cellular,true,true,true,true,,,,,,4g,simyo
1774790048134000000,18.015000244140627,cellular,true,true,true,true,,,,,,4g,simyo
1774790050134000000,20.015000244140627,cellular,true,true,true,true,,,,,,4g,simyo
1774790052135000000,22.016,cellular,true,true,true,true,,,,,,4g,simyo
1774790054136000000,24.017,cellular,true,true,true,true,,,,,,4g,simyo
1774790056137000000,26.018,cellular,true,true,true,true,,,,,,4g,simyo
1774790058142000000,28.023000244140626,cellular,true,true,true,true,,,,,,4g,simyo
1774790060137000000,30.018,cellular,true,true,true,true,,,,,,4g,simyo
1774790062138000000,32.018999755859376,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,99,192.168.0.110,2412,,
1774790064139000000,34.02,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,99,192.168.0.110,2412,,
1774790066148000000,36.029,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,99,192.168.0.110,2412,,
1774790068142000000,38.023000244140626,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,99,192.168.0.110,2412,,
1774790070146000000,40.02699975585937,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,99,192.168.0.110,2412,,
1774790072147000000,42.028,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,99,192.168.0.110,2412,,
