time,seconds_elapsed,level,frequency,capabilities,BSSID,SSID
1774790030117000000,-0.002,-81,5220,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],5c:e9:31:ec:5a:e2,Oui  fee! 
1774790030117000000,-0.002,-81,2462,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],f0:2f:74:7d:5a:f8,ASUS_F8
1774790030117000000,-0.002,-80,5220,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],6a:e9:31:ec:5a:e4,(hidden SSID)
1774790030117000000,-0.002,-66,2442,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],b0:19:21:aa:09:3c,Anaklysmos
1774790030117000000,-0.002,-71,5240,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],b0:19:21:aa:09:3b,Anaklysmos
1774790030117000000,-0.002,-81,2452,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],8c:90:2d:44:c4:3b,TP-Link_C43C
1774790030117000000,-0.002,-74,2417,[WPA2-PSK-CCMP-128+TKIP][RSN-PSK-CCMP-128+TKIP][WPA-PSK-CCMP-128+TKIP][ESS][WPS],cc:32:e5:7c:29:53,DoloDenBoSanka
1774790030117000000,-0.002,-59,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],cc:32:e5:8a:08:bc,Julia's huisje_EXT
1774790030117000000,-0.002,-83,2432,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],98:ba:5f:90:3c:64,Arne Uili
1774790030117000000,-0.002,-56,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],60:cf:84:ee:f8:9c,Julia's huisje
1774790030117000000,-0.002,-71,2447,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],60:e3:27:39:55:5b,TP-LINK_555B
1774790030117000000,-0.002,-83,2447,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],ac:15:a2:2c:67:1b,TP-Link_671C
1774790030117000000,-0.002,-70,5240,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],d2:19:21:aa:09:3b,(hidden SSID)
1774790030117000000,-0.002,-44,2472,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],cc:32:e5:8a:08:bd,Julia's huisje_EXT
1774790030117000000,-0.002,-60,2462,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],64:d1:a3:26:e5:cf,SitecomX5 
